epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,6437.42,0.81057,2.2543,1.05069,0.64666,0.51161,0.5363,0.40678,0.88594,6.74594,1.11739,0.0002674,0.0002674,0.0002674
39,6605.2,0.80305,2.19613,1.04611,0.66555,0.52259,0.55824,0.42431,0.87416,6.3141,1.10235,0.0002476,0.0002476,0.0002476
40,6773.68,0.80354,2.1857,1.04826,0.62223,0.51485,0.52996,0.40349,0.87545,6.52297,1.10602,0.0002278,0.0002278,0.0002278
41,6941.92,0.7034,1.71533,0.99401,0.6188,0.51035,0.52518,0.39877,0.8878,6.76239,1.11442,0.000208,0.000208,0.000208
42,7109.38,0.69572,1.66654,0.99061,0.61859,0.52593,0.52529,0.39938,0.90436,7.047,1.12724,0.0001882,0.0001882,0.0001882
43,7276.68,0.6891,1.62398,0.98396,0.62011,0.53022,0.53369,0.40282,0.89223,7.05269,1.12752,0.0001684,0.0001684,0.0001684
44,7444.31,0.67919,1.58344,0.98346,0.61257,0.51373,0.51347,0.39043,0.90383,7.41853,1.13128,0.0001486,0.0001486,0.0001486
45,7611.84,0.67486,1.54771,0.97818,0.62602,0.51712,0.525,0.39843,0.89533,7.22104,1.1236,0.0001288,0.0001288,0.0001288
46,7779.36,0.67056,1.51776,0.97604,0.6337,0.52241,0.5281,0.40279,0.89326,7.25779,1.12236,0.000109,0.000109,0.000109
47,7946.78,0.66361,1.47979,0.97122,0.63644,0.51515,0.52054,0.39735,0.89711,7.36491,1.12525,8.92e-05,8.92e-05,8.92e-05
48,8114.58,0.66083,1.45077,0.96681,0.65511,0.51224,0.52814,0.40012,0.8902,7.19698,1.11949,6.94e-05,6.94e-05,6.94e-05
49,8281.88,0.65858,1.44244,0.966,0.6346,0.5255,0.52954,0.40088,0.89574,7.37598,1.12513,4.96e-05,4.96e-05,4.96e-05
