frame_id,student_id,behavior_label,confidence,cx,cy,timestamp
2,17,Reading,0.9,131,276,2026-04-14 17:35:41
2,18,Writing,0.91,497,159,2026-04-14 17:35:41
2,19,Reading,0.9,798,91,2026-04-14 17:35:41
2,20,Reading,0.9,743,72,2026-04-14 17:35:41
2,21,Useing-Phone,0.89,626,123,2026-04-14 17:35:41
2,22,Useing-Phone,0.8,501,202,2026-04-14 17:35:41
2,23,Reading,0.89,438,117,2026-04-14 17:35:41
2,24,Reading,0.91,725,182,2026-04-14 17:35:41
2,25,Reading,0.91,685,195,2026-04-14 17:35:41
2,26,Useing-Phone,0.86,836,84,2026-04-14 17:35:41
2,27,Head-down,0.48,423,246,2026-04-14 17:35:41
2,28,Reading,0.87,863,108,2026-04-14 17:35:41
2,29,Sleeping,0.86,779,69,2026-04-14 17:35:41
2,30,Reading,0.76,894,96,2026-04-14 17:35:41
2,31,Head-down,0.85,512,81,2026-04-14 17:35:41
2,32,Reading,0.74,399,125,2026-04-14 17:35:41
3,1,Writing,0.94,986,192,2026-04-14 17:35:41
3,2,Reading,0.93,105,467,2026-04-14 17:35:41
3,3,Useing-Phone,0.95,335,423,2026-04-14 17:35:41
3,5,Useing-Phone,0.93,240,463,2026-04-14 17:35:41
3,6,Writing,0.93,178,321,2026-04-14 17:35:41
3,7,Useing-Phone,0.95,503,314,2026-04-14 17:35:41
3,8,Useing-Phone,0.92,621,218,2026-04-14 17:35:41
3,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
3,10,Reading,0.92,93,349,2026-04-14 17:35:41
3,11,Useing-Phone,0.94,360,218,2026-04-14 17:35:41
3,12,Useing-Phone,0.93,588,139,2026-04-14 17:35:41
3,13,Reading,0.86,489,106,2026-04-14 17:35:41
3,14,Useing-Phone,0.89,684,116,2026-04-14 17:35:41
3,15,Head-down,0.93,653,160,2026-04-14 17:35:41
3,16,Sleeping,0.93,564,247,2026-04-14 17:35:41
3,17,Reading,0.88,126,275,2026-04-14 17:35:41
3,18,Writing,0.9,495,159,2026-04-14 17:35:41
3,19,Reading,0.91,798,91,2026-04-14 17:35:41
3,20,Reading,0.89,744,73,2026-04-14 17:35:41
3,21,Useing-Phone,0.87,629,123,2026-04-14 17:35:41
3,23,Reading,0.86,440,117,2026-04-14 17:35:41
3,24,Reading,0.93,726,182,2026-04-14 17:35:41
3,25,Reading,0.9,678,195,2026-04-14 17:35:41
3,26,Useing-Phone,0.88,836,83,2026-04-14 17:35:41
3,27,Head-down,0.94,422,247,2026-04-14 17:35:41
3,28,Reading,0.91,863,106,2026-04-14 17:35:41
3,29,Sleeping,0.86,778,68,2026-04-14 17:35:41
3,31,Head-down,0.83,511,82,2026-04-14 17:35:41
3,32,Reading,0.9,399,125,2026-04-14 17:35:41
4,1,Writing,0.94,986,192,2026-04-14 17:35:41
4,2,Reading,0.93,105,467,2026-04-14 17:35:41
4,3,Useing-Phone,0.95,335,423,2026-04-14 17:35:41
4,5,Useing-Phone,0.93,241,464,2026-04-14 17:35:41
4,6,Writing,0.93,179,322,2026-04-14 17:35:41
4,7,Useing-Phone,0.95,503,314,2026-04-14 17:35:41
4,8,Useing-Phone,0.92,621,218,2026-04-14 17:35:41
4,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
4,10,Reading,0.92,93,350,2026-04-14 17:35:41
4,11,Useing-Phone,0.94,359,219,2026-04-14 17:35:41
4,12,Useing-Phone,0.93,588,139,2026-04-14 17:35:41
4,13,Reading,0.86,489,106,2026-04-14 17:35:41
4,14,Useing-Phone,0.89,686,116,2026-04-14 17:35:41
4,15,Head-down,0.93,653,160,2026-04-14 17:35:41
4,16,Sleeping,0.93,564,247,2026-04-14 17:35:41
4,17,Reading,0.89,124,275,2026-04-14 17:35:41
4,18,Writing,0.9,494,159,2026-04-14 17:35:41
4,19,Reading,0.91,798,91,2026-04-14 17:35:41
4,20,Reading,0.89,744,73,2026-04-14 17:35:41
4,21,Useing-Phone,0.87,629,123,2026-04-14 17:35:41
4,23,Reading,0.86,441,117,2026-04-14 17:35:41
4,24,Reading,0.93,726,182,2026-04-14 17:35:41
4,25,Reading,0.9,675,195,2026-04-14 17:35:41
4,26,Useing-Phone,0.88,836,83,2026-04-14 17:35:41
4,27,Head-down,0.94,421,248,2026-04-14 17:35:41
4,28,Reading,0.91,863,106,2026-04-14 17:35:41
4,29,Sleeping,0.86,778,68,2026-04-14 17:35:41
4,31,Head-down,0.83,510,82,2026-04-14 17:35:41
4,32,Reading,0.9,399,124,2026-04-14 17:35:41
4,33,Reading,0.94,722,258,2026-04-14 17:35:41
4,34,Writing,0.92,208,258,2026-04-14 17:35:41
4,35,Reading,0.86,561,92,2026-04-14 17:35:41
4,36,Reading,0.85,963,117,2026-04-14 17:35:41
4,37,Reading,0.84,83,304,2026-04-14 17:35:41
4,38,Reading,0.83,400,105,2026-04-14 17:35:41
5,1,Writing,0.94,986,192,2026-04-14 17:35:41
5,2,Reading,0.92,104,467,2026-04-14 17:35:41
5,3,Useing-Phone,0.95,335,423,2026-04-14 17:35:41
5,5,Useing-Phone,0.93,241,464,2026-04-14 17:35:41
5,6,Writing,0.93,179,322,2026-04-14 17:35:41
5,7,Useing-Phone,0.95,503,314,2026-04-14 17:35:41
5,8,Useing-Phone,0.92,620,218,2026-04-14 17:35:41
5,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
5,10,Reading,0.92,94,351,2026-04-14 17:35:41
5,11,Useing-Phone,0.94,359,219,2026-04-14 17:35:41
5,12,Useing-Phone,0.92,588,139,2026-04-14 17:35:41
5,13,Reading,0.89,489,106,2026-04-14 17:35:41
5,14,Useing-Phone,0.89,687,117,2026-04-14 17:35:41
5,15,Head-down,0.94,653,160,2026-04-14 17:35:41
5,16,Sleeping,0.93,564,247,2026-04-14 17:35:41
5,17,Useing-Phone,0.92,125,275,2026-04-14 17:35:41
5,18,Writing,0.9,495,160,2026-04-14 17:35:41
5,19,Reading,0.9,798,90,2026-04-14 17:35:41
5,20,Reading,0.89,744,73,2026-04-14 17:35:41
5,21,Useing-Phone,0.79,630,123,2026-04-14 17:35:41
5,23,Reading,0.86,441,117,2026-04-14 17:35:41
5,24,Reading,0.92,728,181,2026-04-14 17:35:41
5,25,Reading,0.91,675,196,2026-04-14 17:35:41
5,26,Useing-Phone,0.89,836,83,2026-04-14 17:35:41
5,27,Head-down,0.94,421,248,2026-04-14 17:35:41
5,28,Reading,0.91,863,106,2026-04-14 17:35:41
5,29,Sleeping,0.88,777,68,2026-04-14 17:35:41
5,31,Head-down,0.86,510,82,2026-04-14 17:35:41
5,32,Reading,0.91,399,124,2026-04-14 17:35:41
5,33,Reading,0.94,722,258,2026-04-14 17:35:41
5,34,Writing,0.91,207,261,2026-04-14 17:35:41
5,35,Reading,0.87,561,92,2026-04-14 17:35:41
5,36,Reading,0.87,962,117,2026-04-14 17:35:41
5,37,Reading,0.88,81,304,2026-04-14 17:35:41
5,38,Reading,0.85,400,105,2026-04-14 17:35:41
5,22,Useing-Phone,0.25,497,200,2026-04-14 17:35:41
6,1,Writing,0.93,985,189,2026-04-14 17:35:41
6,2,Reading,0.93,105,467,2026-04-14 17:35:41
6,3,Useing-Phone,0.95,336,422,2026-04-14 17:35:41
6,5,Useing-Phone,0.92,241,465,2026-04-14 17:35:41
6,6,Writing,0.93,179,322,2026-04-14 17:35:41
6,7,Useing-Phone,0.96,503,314,2026-04-14 17:35:41
6,8,Useing-Phone,0.91,620,218,2026-04-14 17:35:41
6,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
6,10,Reading,0.92,93,351,2026-04-14 17:35:41
6,11,Useing-Phone,0.93,359,219,2026-04-14 17:35:41
6,12,Useing-Phone,0.92,588,138,2026-04-14 17:35:41
6,13,Reading,0.59,489,106,2026-04-14 17:35:41
6,14,Useing-Phone,0.9,686,120,2026-04-14 17:35:41
6,15,Head-down,0.93,655,160,2026-04-14 17:35:41
6,16,Sleeping,0.92,563,247,2026-04-14 17:35:41
6,17,Useing-Phone,0.9,126,276,2026-04-14 17:35:41
6,18,Writing,0.89,495,161,2026-04-14 17:35:41
6,19,Reading,0.91,799,89,2026-04-14 17:35:41
6,20,Reading,0.86,744,73,2026-04-14 17:35:41
6,21,Useing-Phone,0.84,629,123,2026-04-14 17:35:41
6,23,Reading,0.86,440,117,2026-04-14 17:35:41
6,25,Reading,0.42,684,195,2026-04-14 17:35:41
6,26,Useing-Phone,0.88,836,83,2026-04-14 17:35:41
6,27,Head-down,0.94,421,248,2026-04-14 17:35:41
6,28,Reading,0.9,864,105,2026-04-14 17:35:41
6,29,Sleeping,0.83,777,69,2026-04-14 17:35:41
6,31,Head-down,0.86,510,82,2026-04-14 17:35:41
6,32,Reading,0.91,398,124,2026-04-14 17:35:41
6,33,Reading,0.94,722,258,2026-04-14 17:35:41
6,34,Writing,0.9,208,264,2026-04-14 17:35:41
6,35,Reading,0.9,560,91,2026-04-14 17:35:41
6,36,Reading,0.89,965,116,2026-04-14 17:35:41
6,37,Reading,0.44,79,307,2026-04-14 17:35:41
6,38,Reading,0.85,400,105,2026-04-14 17:35:41
6,22,Useing-Phone,0.86,496,199,2026-04-14 17:35:41
7,1,Writing,0.91,984,187,2026-04-14 17:35:41
7,2,Reading,0.92,105,467,2026-04-14 17:35:41
7,3,Useing-Phone,0.95,335,422,2026-04-14 17:35:41
7,5,Useing-Phone,0.92,241,465,2026-04-14 17:35:41
7,6,Writing,0.93,179,322,2026-04-14 17:35:41
7,7,Useing-Phone,0.97,502,314,2026-04-14 17:35:41
7,8,Useing-Phone,0.91,620,218,2026-04-14 17:35:41
7,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
7,10,Reading,0.93,93,350,2026-04-14 17:35:41
7,11,Useing-Phone,0.93,359,219,2026-04-14 17:35:41
7,12,Useing-Phone,0.92,587,138,2026-04-14 17:35:41
7,13,Reading,0.9,489,105,2026-04-14 17:35:41
7,14,Useing-Phone,0.9,684,120,2026-04-14 17:35:41
7,15,Head-down,0.94,656,160,2026-04-14 17:35:41
7,16,Sleeping,0.91,564,247,2026-04-14 17:35:41
7,17,Useing-Phone,0.89,128,276,2026-04-14 17:35:41
7,18,Writing,0.85,495,162,2026-04-14 17:35:41
7,19,Reading,0.9,800,90,2026-04-14 17:35:41
7,20,Reading,0.86,744,73,2026-04-14 17:35:41
7,21,Useing-Phone,0.89,628,123,2026-04-14 17:35:41
7,23,Reading,0.87,440,117,2026-04-14 17:35:41
7,25,Reading,0.92,688,195,2026-04-14 17:35:41
7,26,Useing-Phone,0.88,836,82,2026-04-14 17:35:41
7,27,Head-down,0.94,421,247,2026-04-14 17:35:41
7,28,Reading,0.91,865,105,2026-04-14 17:35:41
7,29,Sleeping,0.55,777,69,2026-04-14 17:35:41
7,31,Head-down,0.87,510,80,2026-04-14 17:35:41
7,32,Reading,0.9,398,124,2026-04-14 17:35:41
7,33,Reading,0.95,721,258,2026-04-14 17:35:41
7,34,Writing,0.9,208,265,2026-04-14 17:35:41
7,35,Reading,0.91,561,90,2026-04-14 17:35:41
7,36,Reading,0.9,966,115,2026-04-14 17:35:41
7,38,Reading,0.83,399,105,2026-04-14 17:35:41
7,22,Useing-Phone,0.89,497,198,2026-04-14 17:35:41
7,39,Reading,0.91,207,373,2026-04-14 17:35:41
8,1,Writing,0.92,984,185,2026-04-14 17:35:41
8,2,Reading,0.93,105,467,2026-04-14 17:35:41
8,3,Useing-Phone,0.95,336,422,2026-04-14 17:35:41
8,5,Useing-Phone,0.93,241,465,2026-04-14 17:35:41
8,6,Writing,0.93,179,322,2026-04-14 17:35:41
8,7,Useing-Phone,0.96,502,313,2026-04-14 17:35:41
8,8,Useing-Phone,0.78,621,219,2026-04-14 17:35:41
8,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
8,10,Reading,0.92,92,350,2026-04-14 17:35:41
8,11,Useing-Phone,0.94,359,219,2026-04-14 17:35:41
8,12,Useing-Phone,0.92,588,138,2026-04-14 17:35:41
8,13,Reading,0.9,489,105,2026-04-14 17:35:41
8,14,Useing-Phone,0.9,683,119,2026-04-14 17:35:41
8,15,Head-down,0.94,652,160,2026-04-14 17:35:41
8,16,Sleeping,0.92,565,249,2026-04-14 17:35:41
8,17,Useing-Phone,0.91,127,275,2026-04-14 17:35:41
8,18,Writing,0.86,496,163,2026-04-14 17:35:41
8,19,Reading,0.9,800,90,2026-04-14 17:35:41
8,20,Reading,0.87,744,74,2026-04-14 17:35:41
8,21,Useing-Phone,0.87,628,123,2026-04-14 17:35:41
8,23,Reading,0.85,441,117,2026-04-14 17:35:41
8,25,Reading,0.93,688,196,2026-04-14 17:35:41
8,26,Useing-Phone,0.85,836,82,2026-04-14 17:35:41
8,27,Head-down,0.94,421,247,2026-04-14 17:35:41
8,28,Reading,0.91,864,106,2026-04-14 17:35:41
8,29,Sleeping,0.83,777,70,2026-04-14 17:35:41
8,31,Head-down,0.85,510,80,2026-04-14 17:35:41
8,32,Reading,0.89,398,124,2026-04-14 17:35:41
8,33,Reading,0.95,721,258,2026-04-14 17:35:41
8,34,Writing,0.92,209,263,2026-04-14 17:35:41
8,35,Reading,0.91,561,90,2026-04-14 17:35:41
8,36,Reading,0.91,966,115,2026-04-14 17:35:41
8,38,Reading,0.85,399,105,2026-04-14 17:35:41
8,22,Useing-Phone,0.9,499,199,2026-04-14 17:35:41
8,39,Reading,0.9,207,374,2026-04-14 17:35:41
9,1,Writing,0.93,984,185,2026-04-14 17:35:41
9,2,Reading,0.93,105,468,2026-04-14 17:35:41
9,3,Useing-Phone,0.95,335,422,2026-04-14 17:35:41
9,5,Useing-Phone,0.93,241,464,2026-04-14 17:35:41
9,6,Writing,0.93,179,322,2026-04-14 17:35:41
9,7,Useing-Phone,0.96,503,314,2026-04-14 17:35:41
9,8,Useing-Phone,0.69,621,219,2026-04-14 17:35:41
9,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
9,10,Reading,0.92,92,349,2026-04-14 17:35:41
9,11,Useing-Phone,0.94,360,219,2026-04-14 17:35:41
9,12,Useing-Phone,0.92,588,138,2026-04-14 17:35:41
9,13,Reading,0.91,489,106,2026-04-14 17:35:41
9,14,Useing-Phone,0.9,683,118,2026-04-14 17:35:41
9,15,Head-down,0.94,651,160,2026-04-14 17:35:41
9,16,Sleeping,0.92,566,249,2026-04-14 17:35:41
9,17,Useing-Phone,0.9,128,274,2026-04-14 17:35:41
9,18,Writing,0.87,496,162,2026-04-14 17:35:41
9,19,Reading,0.9,800,90,2026-04-14 17:35:41
9,20,Reading,0.87,744,74,2026-04-14 17:35:41
9,21,Useing-Phone,0.88,628,123,2026-04-14 17:35:41
9,23,Reading,0.84,441,116,2026-04-14 17:35:41
9,25,Reading,0.93,688,197,2026-04-14 17:35:41
9,26,Useing-Phone,0.85,836,82,2026-04-14 17:35:41
9,27,Head-down,0.94,422,248,2026-04-14 17:35:41
9,28,Reading,0.91,864,106,2026-04-14 17:35:41
9,29,Sleeping,0.83,777,70,2026-04-14 17:35:41
9,31,Head-down,0.85,510,79,2026-04-14 17:35:41
9,32,Reading,0.89,399,124,2026-04-14 17:35:41
9,33,Reading,0.95,721,258,2026-04-14 17:35:41
9,34,Writing,0.93,211,261,2026-04-14 17:35:41
9,35,Reading,0.9,561,90,2026-04-14 17:35:41
9,36,Reading,0.9,965,115,2026-04-14 17:35:41
9,38,Reading,0.85,399,105,2026-04-14 17:35:41
9,22,Useing-Phone,0.9,499,200,2026-04-14 17:35:41
9,39,Reading,0.93,207,375,2026-04-14 17:35:41
10,1,Writing,0.93,984,185,2026-04-14 17:35:41
10,2,Reading,0.93,106,468,2026-04-14 17:35:41
10,3,Useing-Phone,0.95,335,422,2026-04-14 17:35:41
10,5,Useing-Phone,0.93,241,464,2026-04-14 17:35:41
10,6,Writing,0.93,179,322,2026-04-14 17:35:41
10,7,Useing-Phone,0.96,503,314,2026-04-14 17:35:41
10,8,Useing-Phone,0.65,621,219,2026-04-14 17:35:41
10,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
10,10,Reading,0.92,92,349,2026-04-14 17:35:41
10,11,Useing-Phone,0.94,360,219,2026-04-14 17:35:41
10,12,Useing-Phone,0.92,588,138,2026-04-14 17:35:41
10,13,Reading,0.91,488,106,2026-04-14 17:35:41
10,14,Useing-Phone,0.9,683,118,2026-04-14 17:35:41
10,15,Head-down,0.94,650,160,2026-04-14 17:35:41
10,16,Sleeping,0.92,566,249,2026-04-14 17:35:41
10,17,Useing-Phone,0.9,128,274,2026-04-14 17:35:41
10,18,Writing,0.87,496,163,2026-04-14 17:35:41
10,19,Reading,0.9,800,90,2026-04-14 17:35:41
10,20,Reading,0.87,745,74,2026-04-14 17:35:41
10,21,Useing-Phone,0.88,628,123,2026-04-14 17:35:41
10,23,Reading,0.84,441,116,2026-04-14 17:35:41
10,25,Writing,0.93,688,197,2026-04-14 17:35:41
10,26,Useing-Phone,0.85,836,82,2026-04-14 17:35:41
10,27,Head-down,0.94,422,248,2026-04-14 17:35:41
10,28,Reading,0.91,864,106,2026-04-14 17:35:41
10,29,Sleeping,0.83,777,70,2026-04-14 17:35:41
10,31,Head-down,0.85,509,79,2026-04-14 17:35:41
10,32,Reading,0.89,399,124,2026-04-14 17:35:41
10,33,Reading,0.95,721,258,2026-04-14 17:35:41
10,34,Writing,0.93,211,260,2026-04-14 17:35:41
10,35,Reading,0.9,560,90,2026-04-14 17:35:41
10,36,Reading,0.9,965,115,2026-04-14 17:35:41
10,38,Reading,0.85,399,106,2026-04-14 17:35:41
10,22,Useing-Phone,0.9,500,200,2026-04-14 17:35:41
10,39,Reading,0.93,208,375,2026-04-14 17:35:41
10,42,Useing-Phone,0.49,622,219,2026-04-14 17:35:41
11,1,Writing,0.93,985,186,2026-04-14 17:35:41
11,3,Useing-Phone,0.94,335,422,2026-04-14 17:35:41
11,5,Useing-Phone,0.93,240,464,2026-04-14 17:35:41
11,6,Writing,0.94,178,321,2026-04-14 17:35:41
11,7,Useing-Phone,0.96,503,314,2026-04-14 17:35:41
11,8,Useing-Phone,0.9,620,218,2026-04-14 17:35:41
11,9,Useing-Phone,0.91,435,185,2026-04-14 17:35:41
11,10,Reading,0.92,93,348,2026-04-14 17:35:41
11,11,Useing-Phone,0.92,360,219,2026-04-14 17:35:41
11,12,Useing-Phone,0.91,588,139,2026-04-14 17:35:41
11,13,Reading,0.91,490,106,2026-04-14 17:35:41
11,14,Useing-Phone,0.91,683,118,2026-04-14 17:35:41
11,15,Head-down,0.93,652,159,2026-04-14 17:35:41
11,16,Sleeping,0.91,564,247,2026-04-14 17:35:41
11,17,Useing-Phone,0.9,133,276,2026-04-14 17:35:41
11,18,Writing,0.89,496,162,2026-04-14 17:35:41
11,19,Reading,0.89,800,90,2026-04-14 17:35:41
11,20,Reading,0.88,745,74,2026-04-14 17:35:41
11,21,Useing-Phone,0.91,627,123,2026-04-14 17:35:41
11,23,Reading,0.9,441,116,2026-04-14 17:35:41
11,25,Writing,0.92,688,195,2026-04-14 17:35:41
11,26,Useing-Phone,0.88,836,82,2026-04-14 17:35:41
11,27,Head-down,0.93,421,247,2026-04-14 17:35:41
11,28,Reading,0.91,863,106,2026-04-14 17:35:41
11,29,Sleeping,0.85,777,70,2026-04-14 17:35:41
11,31,Head-down,0.87,510,80,2026-04-14 17:35:41
11,32,Reading,0.9,399,124,2026-04-14 17:35:41
11,33,Reading,0.94,723,257,2026-04-14 17:35:41
11,34,Writing,0.92,211,261,2026-04-14 17:35:41
11,35,Reading,0.89,562,90,2026-04-14 17:35:41
11,36,Reading,0.88,965,115,2026-04-14 17:35:41
11,38,Reading,0.85,399,105,2026-04-14 17:35:41
11,22,Useing-Phone,0.9,499,200,2026-04-14 17:35:41
11,39,Reading,0.94,207,374,2026-04-14 17:35:41
11,4,Writing,0.95,660,282,2026-04-14 17:35:41
11,37,Reading,0.85,94,301,2026-04-14 17:35:41
12,1,Writing,0.92,987,185,2026-04-14 17:35:41
12,3,Useing-Phone,0.94,334,423,2026-04-14 17:35:41
12,5,Useing-Phone,0.93,239,464,2026-04-14 17:35:41
12,6,Writing,0.94,180,322,2026-04-14 17:35:41
12,7,Useing-Phone,0.95,503,314,2026-04-14 17:35:41
12,8,Useing-Phone,0.91,620,218,2026-04-14 17:35:41
12,9,Useing-Phone,0.92,435,184,2026-04-14 17:35:41
12,10,Reading,0.91,93,345,2026-04-14 17:35:41
12,11,Useing-Phone,0.94,360,219,2026-04-14 17:35:41
12,12,Useing-Phone,0.91,588,139,2026-04-14 17:35:41
12,13,Reading,0.89,490,107,2026-04-14 17:35:41
12,14,Useing-Phone,0.91,683,118,2026-04-14 17:35:41
12,16,Sleeping,0.89,562,246,2026-04-14 17:35:41
12,17,Useing-Phone,0.9,135,276,2026-04-14 17:35:41
12,18,Writing,0.87,496,161,2026-04-14 17:35:41
12,19,Reading,0.91,800,91,2026-04-14 17:35:41
12,20,Reading,0.87,745,74,2026-04-14 17:35:41
12,21,Useing-Phone,0.92,627,123,2026-04-14 17:35:41
12,23,Reading,0.89,443,114,2026-04-14 17:35:41
12,26,Useing-Phone,0.88,836,82,2026-04-14 17:35:41
12,27,Head-down,0.93,421,245,2026-04-14 17:35:41
12,28,Reading,0.92,862,105,2026-04-14 17:35:41
12,29,Sleeping,0.88,777,69,2026-04-14 17:35:41
12,31,Head-down,0.89,512,80,2026-04-14 17:35:41
12,32,Reading,0.9,399,124,2026-04-14 17:35:41
12,33,Reading,0.93,724,258,2026-04-14 17:35:41
12,34,Writing,0.87,207,262,2026-04-14 17:35:41
12,35,Reading,0.9,563,90,2026-04-14 17:35:41
12,36,Reading,0.89,963,116,2026-04-14 17:35:41
12,38,Reading,0.87,399,104,2026-04-14 17:35:41
12,22,Useing-Phone,0.89,495,200,2026-04-14 17:35:41
12,43,Reading,0.9,1018,144,2026-04-14 17:35:41
12,44,Useing-Phone,0.86,442,91,2026-04-14 17:35:41
12,4,Writing,0.94,661,282,2026-04-14 17:35:41
12,37,Reading,0.85,84,303,2026-04-14 17:35:41
13,1,Writing,0.92,987,188,2026-04-14 17:35:41
13,3,Useing-Phone,0.94,334,423,2026-04-14 17:35:41
13,5,Useing-Phone,0.93,239,464,2026-04-14 17:35:41
13,6,Writing,0.94,180,322,2026-04-14 17:35:41
13,7,Useing-Phone,0.94,503,314,2026-04-14 17:35:41
13,8,Useing-Phone,0.91,620,218,2026-04-14 17:35:41
13,9,Useing-Phone,0.91,436,184,2026-04-14 17:35:41
13,10,Reading,0.9,93,344,2026-04-14 17:35:41
13,11,Useing-Phone,0.94,360,219,2026-04-14 17:35:41
13,12,Useing-Phone,0.91,588,139,2026-04-14 17:35:41
13,13,Useing-Phone,0.9,490,107,2026-04-14 17:35:41
13,14,Useing-Phone,0.91,683,118,2026-04-14 17:35:41
13,16,Sleeping,0.88,562,247,2026-04-14 17:35:41
13,17,Useing-Phone,0.89,135,277,2026-04-14 17:35:41
13,18,Writing,0.86,497,161,2026-04-14 17:35:41
13,19,Reading,0.91,800,91,2026-04-14 17:35:41
13,20,Reading,0.87,745,74,2026-04-14 17:35:41
13,21,Useing-Phone,0.91,627,123,2026-04-14 17:35:41
13,23,Reading,0.9,444,114,2026-04-14 17:35:41
13,26,Useing-Phone,0.88,837,82,2026-04-14 17:35:41
13,27,Head-down,0.93,421,245,2026-04-14 17:35:41
13,28,Reading,0.91,862,105,2026-04-14 17:35:41
13,29,Sleeping,0.89,778,69,2026-04-14 17:35:41
13,31,Head-down,0.89,512,80,2026-04-14 17:35:41
13,32,Reading,0.91,399,124,2026-04-14 17:35:41
13,33,Reading,0.94,724,256,2026-04-14 17:35:41
13,34,Writing,0.87,206,262,2026-04-14 17:35:41
13,35,Reading,0.9,564,91,2026-04-14 17:35:41
13,36,Reading,0.89,963,116,2026-04-14 17:35:41
13,38,Reading,0.87,399,104,2026-04-14 17:35:41
13,22,Useing-Phone,0.87,494,200,2026-04-14 17:35:41
13,43,Reading,0.88,1020,144,2026-04-14 17:35:41
13,44,Useing-Phone,0.87,443,92,2026-04-14 17:35:41
13,4,Writing,0.94,660,282,2026-04-14 17:35:41
13,37,Reading,0.84,83,304,2026-04-14 17:35:41
14,1,Writing,0.8,990,192,2026-04-14 17:35:41
14,3,Useing-Phone,0.94,334,422,2026-04-14 17:35:41
14,5,Useing-Phone,0.93,239,464,2026-04-14 17:35:41
14,6,Writing,0.94,178,322,2026-04-14 17:35:41
14,7,Useing-Phone,0.95,503,314,2026-04-14 17:35:41
14,8,Useing-Phone,0.91,620,218,2026-04-14 17:35:41
14,9,Useing-Phone,0.92,437,184,2026-04-14 17:35:41
14,10,Reading,0.9,93,344,2026-04-14 17:35:41
14,11,Useing-Phone,0.92,360,220,2026-04-14 17:35:41
