epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,4173.32,1.01992,3.34472,1.16033,0.58911,0.46599,0.5015,0.37354,0.95683,5.8102,1.16479,0.000604,0.000604,0.000604
22,4372.05,1.01275,3.33503,1.15837,0.56106,0.48261,0.50458,0.37837,0.95749,6.13022,1.16405,0.0005842,0.0005842,0.0005842
23,4569.54,1.00167,3.26109,1.15389,0.60138,0.53077,0.55619,0.4067,0.95929,5.72896,1.16857,0.0005644,0.0005644,0.0005644
24,4767.86,0.99265,3.19507,1.14268,0.61465,0.51751,0.54369,0.40319,0.94651,5.54489,1.16264,0.0005446,0.0005446,0.0005446
25,4965.55,0.98987,3.13459,1.1393,0.536,0.52455,0.54187,0.40314,0.94516,5.75044,1.16499,0.0005248,0.0005248,0.0005248
26,5162.57,0.97528,3.11338,1.13923,0.61364,0.48813,0.52622,0.39309,0.93599,5.9108,1.15733,0.000505,0.000505,0.000505
27,5359.86,0.969,3.05155,1.13211,0.62708,0.4854,0.53739,0.40516,0.94029,6.11436,1.15391,0.0004852,0.0004852,0.0004852
28,5556.71,0.96055,2.98968,1.13072,0.58737,0.51033,0.51789,0.39001,0.94336,6.21439,1.17072,0.0004654,0.0004654,0.0004654
29,5754.78,0.96625,3.0007,1.12952,0.63922,0.51654,0.56229,0.41798,0.93393,5.99374,1.16357,0.0004456,0.0004456,0.0004456
30,5952.23,0.9609,2.96559,1.12913,0.61804,0.50011,0.54641,0.41064,0.93699,6.16668,1.15982,0.0004258,0.0004258,0.0004258
31,6149.86,0.94996,2.89042,1.12029,0.65739,0.49031,0.53996,0.40855,0.94022,6.3551,1.16888,0.000406,0.000406,0.000406
32,6347.82,0.93955,2.85981,1.11643,0.62061,0.51388,0.54045,0.4094,0.93319,6.25012,1.15974,0.0003862,0.0003862,0.0003862
33,6545.55,0.93574,2.8112,1.11088,0.62914,0.49266,0.53247,0.40504,0.92983,6.3827,1.14954,0.0003664,0.0003664,0.0003664
34,6743.91,0.93167,2.77651,1.108,0.63246,0.53319,0.56128,0.42334,0.92772,6.43217,1.15238,0.0003466,0.0003466,0.0003466
35,6941.59,0.92231,2.71177,1.10484,0.61424,0.53149,0.54428,0.4152,0.92666,6.25747,1.15502,0.0003268,0.0003268,0.0003268
36,7139.85,0.92359,2.68858,1.10136,0.63678,0.5046,0.53481,0.4077,0.92428,6.52868,1.1484,0.000307,0.000307,0.000307
37,7337.08,0.91413,2.67253,1.10104,0.64631,0.49002,0.52934,0.40348,0.92197,6.53344,1.15868,0.0002872,0.0002872,0.0002872
38,7534.86,0.90394,2.62189,1.09427,0.6478,0.49995,0.54147,0.41031,0.9156,7.00537,1.14819,0.0002674,0.0002674,0.0002674
39,7733.28,0.89844,2.5535,1.0914,0.65093,0.49762,0.55063,0.41823,0.91715,6.7981,1.14633,0.0002476,0.0002476,0.0002476
40,7929.23,0.89831,2.54812,1.09077,0.66703,0.51013,0.55325,0.42227,0.90828,6.57386,1.14313,0.0002278,0.0002278,0.0002278
41,8126.84,0.76691,1.86653,1.03354,0.66531,0.51116,0.54742,0.41423,0.91618,6.83957,1.14646,0.000208,0.000208,0.000208
42,8323.07,0.75647,1.79199,1.02746,0.65485,0.50705,0.5513,0.41761,0.91651,7.09844,1.14804,0.0001882,0.0001882,0.0001882
43,8518.8,0.7545,1.75357,1.02582,0.65995,0.51382,0.54777,0.41818,0.91436,7.0095,1.14674,0.0001684,0.0001684,0.0001684
44,8714.37,0.73917,1.69818,1.02178,0.65839,0.50584,0.54257,0.41466,0.91821,7.17126,1.14888,0.0001486,0.0001486,0.0001486
